subject,opponent,seed,num_rounds,first_round,last_round,per_c,per_C,per_cC,per_cD,per_dC,per_dD,avg_score,avg_net_score
TIFT,FELDhl,2,200,1,200,0.06030150753768848,0.06030150753768848,0.06,0.0,0.0,0.935,1.1055276381909547,-0.02512562814070352
TIFT,FELDhl,3,200,1,200,0.12060301507537685,0.12060301507537685,0.12,0.0,0.0,0.875,1.2663316582914572,-0.02512562814070352
TIFT,FELDhl,4,200,1,200,0.08040201005025127,0.08040201005025127,0.08,0.0,0.0,0.915,1.150753768844221,-0.02512562814070352
TIFT,FELD,0,200,1,200,0.20100502512562812,0.19095477386934678,0.19,0.01,0.0,0.795,1.3768844221105527,-0.02512562814070352
TIFT,FELD,1,200,1,200,0.1306532663316583,0.12060301507537685,0.12,0.01,0.0,0.865,1.2763819095477387,-0.02512562814070352
TIFT,FELD,2,200,1,200,0.07035175879396982,0.06030150753768848,0.06,0.01,0.0,0.925,1.1055276381909547,-0.02512562814070352
TIFT,FELD,3,200,1,200,0.1306532663316583,0.12060301507537685,0.12,0.01,0.0,0.865,1.2663316582914572,-0.02512562814070352
TIFT,FELD,4,200,1,200,0.09045226130653261,0.08040201005025127,0.08,0.01,0.0,0.905,1.150753768844221,-0.02512562814070352
TIFT,FELDcx,0,200,1,200,1.0,0.1959798994974874,0.195,0.8,0.0,0.0,1.3919597989949748,-0.02512562814070352
TIFT,FELDcx,1,200,1,200,1.0,0.12562814070351758,0.125,0.87,0.0,0.0,1.2914572864321607,-0.02512562814070352
